GENUS$,SPECIES$,FAMILY$,GRWFRM2$,GRWFRM1$,SP$,SG60C_AVG,SG100C_AVG,SG60C_SEM,SG100C_SEM,SG60C_N,SG100C_N,WSG_CHAVE,FRUIT_FRSH,FRUIT_DRY,N_SEEDFULL,N_SEEDEMPTY,DSPR_FRESH,DSPR_DRY,SEED_FRESH,SEED_DRY,N_INDS,N_FRUIT,N_DIASPORE,N_SEEDS,DAWS_DSPRDRY,DBH_AVG,HEIGHT_AVG,DIAM_AVG,DBH_SEM,HEIGHT_SEM,DIAM_SEM,DBH_N,HEIGHT_N,DIAM_N,LEAFAREA_AVD,LEAFLET_AVD,LEAFTHCK_AVD,LMADISC_AVD,LMALEAF_AVD,LMALAM_AVD,LDDISC_AVD,LDMC_AVD,LEAFAREA_SED,LEAFLET_SED,LEAFTHCK_SED,LMADISC_SED,LMALEAF_SED,LMALAM_SED,LDDISC_SED,LDMC_SED,LEAFAREA_ND,LEAFLET_ND,LEAFTHCK_ND,LMADISC_ND,LMALEAF_ND,LMALAM_ND,LDDISC_ND,LDMC_ND,LEAFAREA_AVI,LEAFLET_AVI,LEAFTHCK_AVI,LMADISC_AVI,LMALEAF_AVI,LMALAM_AVI,LDDISC_AVI,LDMC_AVI,LEAFAREA_SEI,LEAFLET_SEI,LEAFTHCK_SEI,LMADISC_SEI,LMALEAF_SEI,LMALAM_SEI,LDDISC_SEI,LDMC_SEI,LEAFAREA_NI,LEAFLET_NI,LEAFTHCK_NI,LMADISC_NI,LMALEAF_NI,LMALAM_NI,LDDISC_NI,LDMC_NI,AVG_LAMTUF,AVG_VEINTUF,SEM_LAMTUF,SEM_VEINTUF,N_LAMTUF,N_VEINTUF,RGR_10,N_RGR10,RGR_50,N_RGR50,RGR_100,N_RGR100,MORT_10,N_MORT10,MORT_100,N_MORT100
Abuta,racemosa,Menispermace,Climber,Climber,ABUTRA,0.467003468,0.497156052,,0.011791866,1,5,,2.298373333,0.385726667,1,0,0.620088333,0.177256667,0.113248333,0.035176667,3,15,21,21,0.579,,,,,,,,,,26.63555556,,188.0555556,74.84828051,79.24187006,71.28159476,0.418962455,0.45139645,2.438147242,,7.798583284,,3.860156759,,,,6,0,6,1,6,1,1,1,46.655,,172.5,55.96763318,65.77568677,61.77145002,0.324971526,0.445444155,,,,,,,,,1,0,1,1,1,1,1,1,699.375,4000.475,23.71614693,317.9339223,4,4,,,,,,,,,,
Acacia,hayesii,Fabaceae,Climber,Climber,ACACHA,0.367612524,0.385288834,,0.018961372,1,2,,,,,,,,,,,,,,,,,,,,,,,,144.53,,133.3333333,,114.0573852,,,,,,,,,,,,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia,melanoceras,Fabaceae:Mim,U,U,ACACME,,,,,,,,,,,,,,,,,,,,,60.4,10.608,2.131607143,14.55197581,1.250589461,0.287179235,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,110.479375,43.66666667,74.375,,50.32607161,46.77864846,,0.336027132,9.745738374,2.657275129,4.83546238,,5.107573128,6.82378575,,0.014889044,8,6,8,0,8,3,0,8,,,,,,,3.24004,25,2.476285714,7,0.909333333,6,0,34,6.6288,10
Acalypha,diversifolia,Euphorbiacea,S,S,ACALDI,0.51361232,0.50129168,0.028780276,0.0291644,4,4,,,,,,,,,,,,,,,65.66666667,6.26,2.4675,2.185812841,0.657596634,0.1575,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,69.43722222,,161.1111111,41.56364726,45.88006467,43.63642145,0.26047817,0.329436168,5.272157557,,9.503085919,1.898918954,2.003435279,1.891616593,0.0131898,0.010460773,6,0,6,6,6,6,6,6,477.86,2115.56,42.71431506,151.9740615,10,10,3.436353698,2177,1.647479167,192,0.470166667,6,8.440188251,4579,10.74236364,11
Acalypha,macrostachya,Euphorbiacea,U,U,ACALMA,0.411336978,0.404127546,0.022054273,0.021682004,5,5,,,,,,,,,,,,,,,48.8,7.08,2.212857143,5.571355311,0.472958772,0.411906061,5,5,4,210.4733333,,128.3333333,26.52281412,38.76508069,29.17173151,0.213865609,0.218878855,,,,,,,,,1,0,1,1,1,1,1,1,118.0922222,,189.4444444,30.39384631,33.9476007,27.83928079,0.165259576,0.210595748,12.27049632,,16.13264844,3.042017653,2.755670627,2.517004095,0.014203846,0.011443369,9,0,9,9,9,9,9,9,198.4090909,1613.981818,17.6595761,173.7271057,11,11,4.078494737,95,2.258880952,42,2.4335,2,12.02115849,265,7.252,7
Adelia,triloba,Euphorbiacea,U,U,ADE1TR,0.663066308,0.647727905,0.010125548,0.010445126,4,4,0.54336,,,,,,,,,,,,,0.026,139,13.1675,3.3646875,8.669871202,1.484157309,0.300139453,4,4,4,31.145,,152.5,45.68442347,41.34032777,40.35494314,0.299505507,0.355461098,,,2.5,4.888739042,,,0.027534277,0.041535586,1,0,2,2,1,1,2,2,36.99055556,,120.7037037,37.58647386,39.05396017,37.93110544,0.308355515,0.329653449,3.714225209,,4.612849219,3.607569332,3.847638199,3.79626151,0.022050212,0.020997905,9,0,9,9,9,9,9,9,324.7090909,1837,34.03979077,127.9450372,11,11,2.247322981,322,1.29721519,237,0.630761194,402,6.023665848,814,2.645568047,507
Aegiphila,anomala,Verbenaceae,M,M,AEGIAN,0.329661289,0.323257783,0.015446772,0.015268182,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegiphila,cephalophora,Verbenaceae,Climber,Climber,AEGICE,,0.445944848,,,0,1,,1.6622,0.31418,3.2,0.7,0.047091667,0.0270375,0.034696667,0.01663,1,10,34,34,,,,,,,,,,,48.63555556,,240,41.80714767,50.39451151,40.15115529,0.203263213,0.293971196,6.257076685,,32.50356106,1.798156889,8.780458871,0.193247007,0.00902072,0.004135603,3,0,3,2,3,2,2,2,44.89583333,,239.3055556,39.63437477,40.54772101,39.15241267,0.166392536,0.25139691,3.948086357,,5.368015128,3.22274303,2.874868522,2.794068705,0.014306703,0.013249776,6,0,6,6,6,6,6,6,311.2285714,2881.514286,18.78537082,189.1785812,14,14,,,,,,,,,,
Aegiphila,elata,Verbenaceae,Climber,Climber,AEGIEL,0.332620818,0.331979554,,,1,1,,1.38886,0.245813333,3.2,0.4,0.048602222,0.021653889,0.01543,0.012005,3,15,55,20,0.06,,,,,,,,,,97.71,,261.25,70.6338503,75.89978767,72.99790705,0.270155783,0.335663149,20.345,,6.25,4.551584626,4.293220062,4.865009563,0.010806231,0.014106155,2,0,2,2,2,2,2,2,145.095,,200,50.23600809,54.27557239,51.86844262,0.253584061,0.311416636,,,,,,,,,1,0,1,1,1,1,1,1,429.8,3545.85,43.1,243.95,2,2,,,,,,,,,,
Aegiphila,panamensis,Verbenaceae,M,M,AEGIPA,0.465257492,0.4558328,0.050999755,0.049893826,5,5,,,,,,,,,,,,,,,164,11.94291632,2.448125,26.76440422,3.224406647,0.283125,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,69.75666667,,169.5238095,31.00215137,38.98819194,37.98364299,0.181709758,0.245004886,8.374220243,,10.30432619,2.803880358,5.180912071,5.181396865,0.010818976,0.029803774,7,0,7,7,7,7,7,7,176.0625,1503.6,32.43498958,106.005603,8,8,2.058810606,132,1.09866129,124,0.715404255,94,7.285419525,379,2.982540541,111
