census,trap,sp
3,1,MACFUN
3,1,VIROSU
3,5,ALSEBL
3,8,LINDLA
3,10,LINDLA
3,10,PSYCFU
3,12,OURALU
3,12,VIROSU
3,15,APEITI
3,19,HAMPAP
3,20,FICUOB
3,21,LINDLA
3,21,VIROSU
3,43,LINDLA
3,45,OURALU
3,48,VIROSU
3,50,HAMPAP
3,53,HAMPAP
3,56,DIPTPA
3,58,UNONPI
3,62,HAMPAP
3,63,JAC1CO
3,69,TYNNCR
3,73,FICUC2
3,86,VIROSU
3,89,DIPTPA
3,101,COU2CU
3,104,MOURMY
3,107,COU2CU
3,111,COU2CU
3,111,SERJCI
3,118,SLOATE
3,136,JAC1CO
3,144,SCH2MO
3,168,TERMAM
3,172,FICUC2
3,172,TET3MA
3,173,COU2CU
3,174,SERJPL
3,175,SERJPL
4,1,HAMPAP
4,2,HIPPVO
4,9,GUATDU
4,12,TRATAS
4,17,GUATDU
4,18,FARAOC
4,18,MASCNE
4,21,LINDLA
4,21,QUARAS
4,21,VIROSE
4,33,QUASAM
4,46,ALSEBL
4,47,LINDLA
4,47,TRATAS
4,56,DIPTPA
4,58,GUATDU
4,58,UNONPI
4,59,HIPPVO
4,62,HIPPVO
4,63,ALSEBL
4,71,ALSEBL
4,73,FICUC2
4,74,HAMPAP
4,81,SLOATE
4,84,OURALU
4,85,JAC1CO
4,85,VIROSE
4,89,DIPTPA
4,92,OURALU
4,93,COU2CU
4,93,TERMAM
4,101,COU2CU
4,106,TET2PA
4,107,COU2CU
4,111,COU2CU
4,118,SLOATE
4,120,COU2CU
4,142,FICUC2
4,143,ALSEBL
4,146,SCH2MO
4,148,ALSEBL
4,149,ALSEBL
4,150,TERMAM
4,154,APEIME
4,166,TERMAM
4,168,TERMAM
4,169,TERMAM
4,172,FICUC2
4,172,HIRARE
4,172,TET3DI
4,182,MENDLI
4,184,PSYCFU
5,1,HIPPVO
5,1,MACFUN
5,1,UNONPI
5,2,MACFUN
5,5,ALSEBL
5,6,PIT2CR
5,7,APEIME
5,12,VIROSE
5,20,FICUOB
5,27,FARAOC
5,34,LINDLA
5,38,HIPPVO
5,39,ALSEBL
5,40,HIPPVO
5,46,ALSEBL
5,48,LINDLA
5,56,DIPTPA
5,56,EUGEOE
5,57,EUGEOE
5,62,HIPPVO
5,69,ALSEBL
5,69,TYNNCR
5,70,ALSEBL
5,71,ALSEBL
5,73,FICUC2
5,84,OURALU
5,86,ALSEBL
5,89,DIPTPA
5,93,TRI2TU
5,101,COU2CU
5,106,LINDLA
5,106,TET2PA
5,107,TET2PA
5,108,EUGEOE
5,114,TERMAM
5,118,SLOATE
5,119,PLA2EL
5,123,EUGEOE
5,126,ROURGL
