"species","seeds_1993","seeds_1994","seeds_1995","seeds_1996","seeds_1997","seeds_1998","seeds_1999","seeds_2000","seeds_2001","seeds_2002","seeds_2003","seeds_2004","seeds_2005","seeds_2006","seeds_2007","seeds_2008","seeds_2009","seeds_2010","seeds_2011","seeds_2012","RBA_1993","RBA_1994","RBA_1995","RBA_1996","RBA_1997","RBA_1998","RBA_1999","RBA_2000","RBA_2001","RBA_2002","RBA_2003","RBA_2004","RBA_2005","RBA_2006","RBA_2007","RBA_2008","RBA_2009","RBA_2010","RBA_2011","RBA_2012","sp_est"
"alchco",425,1344,1286,1644,1268,654,408,1434,359,1043,50,10,181,21,18,3,6,33,0,0,4146429.40923847,4088452.16442234,4030474.91960622,3991123.35402798,3951771.78844974,3912420.2228715,3873068.65729326,3833717.09171502,3839153.92036965,3844590.74902427,3850027.5776789,3855464.40633352,3860901.23498815,3820395.97350077,3779890.71201339,3739385.45052602,3698880.18903864,3658374.92755126,3617869.66606388,3577364.4045765,0.322324722792602
"alsebl",32466,765,14203,2449,1714,27001,1237,885,20366,6962,5682,2325,1401,768,13837,2367,15682,140,189,1631,23266220.6588653,23143817.32014,23021413.9814146,23269748.2382306,23518082.4950465,23766416.7518625,24014751.0086784,24263085.2654944,24190161.7923976,24117238.3193008,24044314.846204,23971391.3731072,23898467.9000104,23928543.5205374,23958619.1410644,23988694.7615914,24018770.3821184,24048846.0026453,24078921.6231723,24108997.2436993,0.801583558332119
"anacex",44,19,40,17,20,1,65,20,16,38,17,68,33,24,10,35,10,13,57,18,32366745.4195457,32226455.3450393,32086165.270533,31287559.1940344,30488953.1175359,29690347.0410374,28891740.9645389,28093134.8880404,27975208.8825583,27857282.8770763,27739356.8715942,27621430.8661122,27503504.8606301,27601754.0565018,27700003.2523735,27798252.4482452,27896501.6441169,27994750.8399886,28093000.0358603,28191249.231732,0.00244760327531519
"ast2gr",0,2,0,0,72,0,18,0,0,0,0,1,4,3,0,3,0,3,1,39,966536.701394142,963731.019214879,960925.337035616,908576.111235363,856226.885435111,803877.659634859,751528.433834606,699179.208034354,714868.762759361,730558.317484368,746247.872209375,761937.426934381,777626.981659388,775807.228850154,773987.47604092,772167.723231687,770347.970422453,768528.217613219,766708.464803985,764888.711994751,0.0225650468287111
"beilpe",33,234,3,93,3,69,119,213,1,102,164,15,143,21,176,68,15,128,91,17,15021020.8571208,15034134.7891114,15047248.721102,15073494.1171949,15099739.5132877,15125984.9093805,15152230.3054733,15178475.7015661,15003846.830542,14829217.9595179,14654589.0884938,14479960.2174697,14305331.3464456,14144783.0020616,13984234.6576775,13823686.3132934,13663137.9689093,13502589.6245253,13342041.2801412,13181492.9357571,0.0147028666053613
"brosal",289,639,436,162,1406,375,146,388,485,329,277,820,107,98,168,59,57,256,123,67,16677621.8151489,16722832.5310382,16768043.2469274,16755976.7258486,16743910.2047699,16731843.6836911,16719777.1626123,16707710.6415335,16912335.35962,17116960.0777065,17321584.795793,17526209.5138795,17730834.2319659,17359292.4717074,16987750.7114489,16616208.9511903,16244667.1909318,15873125.4306733,15501583.6704147,15130041.9101562,0.049668087530555
"chr2ar",9,0,1,6,0,7,0,0,1,0,0,0,1,0,0,0,7,7,0,0,1509902.72558713,1503907.83815422,1497912.95072131,1508368.83108471,1518824.71144812,1529280.59181152,1539736.47217492,1550192.35253833,1520079.18387484,1489966.01521136,1459852.84654788,1429739.6778844,1399626.50922092,1350440.64096108,1301254.77270124,1252068.9044414,1202883.03618156,1153697.16792172,1104511.29966188,1055325.43140204,0.00355531325921024
"chr2ca",171,0,87,40,2,111,9,3,152,17,24,71,3,16,50,57,73,7,3,23,4013123.92763522,4039838.63632618,4066553.34501713,4176787.39033185,4287021.43564657,4397255.48096129,4507489.52627601,4617723.57159072,4506598.10766893,4395472.64374713,4284347.17982533,4173221.71590353,4062096.25198174,4123251.87080596,4184407.48963019,4245563.10845442,4306718.72727865,4367874.34610288,4429029.96492711,4490185.58375133,0.0270617747584492
"cordal",231,228,250,238,90,139,278,103,82,93,135,296,382,353,200,568,757,227,403,135,3128500.92799419,3207816.09813928,3287131.26828437,3357125.22280958,3427119.17733478,3497113.13185998,3567107.08638519,3637101.04091039,3652119.31385456,3667137.58679872,3682155.85974289,3697174.13268706,3712192.40563122,3659011.99131309,3605831.57699495,3552651.16267681,3499470.74835868,3446290.33404054,3393109.91972241,3339929.50540427,0.185595271547573
"cordbi",342,147,306,206,453,311,135,161,176,381,561,189,367,378,346,439,379,292,152,49,9963624.41364964,10041249.965969,10118875.5182883,10220775.1897637,10322674.8612391,10424574.5327144,10526474.2041898,10628373.8756652,10754807.9505494,10881242.0254336,11007676.1003178,11134110.175202,11260544.2500862,11519774.6704402,11779005.0907943,12038235.5111484,12297465.9315024,12556696.3518565,12815926.7722105,13075157.1925646,0.0651620845365627
