census,obsvar,count,n_sp,n_records
3,0.221105528,832,22,40
4,0.303919598,929,26,52
5,0.496859296,996,36,75
6,0.48241206,984,33,80
7,0.627512563,859,48,115
8,0.702889447,740,48,135
9,0.872763819,228,48,208
10,1.121582915,878,45,219
11,1.174271357,342,47,292
12,2.144497487,570,57,607
13,1.856884422,734,46,436
14,1.38281407,966,51,258
15,1.457261307,827,55,301
16,1.023517588,904,54,192
17,0.960778894,837,53,181
18,1.14321608,703,50,230
19,0.959572864,597,49,197
20,0.630251256,98,60,146
21,0.31798995,1,35,88
22,0.510050251,913,46,90
23,0.343492462,276,34,73
24,0.203417085,25,25,48
25,0.255050251,120,31,57
26,0.24620603,543,20,49
27,0.341080402,767,24,65
28,0.385025126,796,26,74
29,0.352864322,826,24,66
30,0.324396985,459,24,67
31,0.490427136,903,26,91
32,0.470753769,818,20,92
33,0.480301508,51,22,122
34,0.610150754,199,26,146
35,0.55718593,365,27,132
36,0.635150754,638,28,139
37,0.574648241,517,24,127
38,0.68138191,996,35,109
39,0.624095477,869,28,119
40,0.346130653,866,14,68
41,0.390929648,933,21,71
42,0.356884422,236,22,86
43,0.353668342,847,14,82
44,0.36620603,976,14,75
45,0.290829146,697,14,65
46,0.391959799,970,17,80
47,0.358567839,923,15,77
48,0.300879397,742,15,65
49,0.276155779,920,14,53
50,0.191733668,762,12,37
51,0.234145729,940,16,41
52,0.194874372,606,21,38
53,0.201005025,522,18,40
54,0.218592965,70,21,50
55,0.181683417,384,21,37
56,0.235552764,707,19,45
57,0.361809045,191,30,80
58,0.248341709,774,23,46
59,0.275150754,372,23,57
60,0.225502513,511,22,45
61,0.698592965,843,35,186
63,1.124020101,856,49,292
64,1.014045226,199,45,279
65,0.963592965,32,42,293
66,0.718366834,100,34,197
67,0.881909548,111,48,250
68,1.113542714,764,37,291
69,0.980879397,873,45,269
70,0.968743719,774,33,238
71,0.970452261,911,35,224
72,0.731432161,113,40,183
73,1.034145729,375,40,329
74,1.028115578,855,47,209
75,0.645628141,249,35,148
76,0.449221106,627,30,89
77,0.48241206,442,29,100
78,0.366231156,797,29,68
79,0.411030151,757,24,79
80,0.272964824,537,19,56
81,0.288944724,57,23,70
82,0.459271357,884,28,89
83,0.359698492,82,15,122
84,0.42120603,290,25,106
85,0.429648241,93,23,190
86,0.500276382,192,18,167
87,0.561909548,354,24,194
88,0.56120603,35,25,208
89,0.518994975,2,17,188
90,0.626909548,25,26,193
91,0.624221106,884,19,134
92,0.585326633,411,26,148
93,0.679170854,942,24,137
94,0.628919598,979,25,113
95,0.629120603,558,33,131
96,0.413040201,716,20,81
97,0.350728643,609,16,71
98,0.357386935,589,17,76
99,0.387713568,369,16,87
100,0.386306533,745,13,85
101,0.403919598,862,17,82
102,0.372261307,935,15,72
103,0.386331658,980,21,68
104,0.24281407,914,12,44
105,0.271130653,954,18,47
106,0.184824121,461,16,38
107,0.25839196,913,16,46
108,0.188542714,700,16,36
109,0.235552764,750,18,45
110,0.230929648,472,25,47
111,0.538467337,993,33,87
112,0.508316583,962,34,87
113,0.399899497,681,30,78
114,0.568819095,338,41,131
115,1.298894472,994,41,252
116,0.618869347,958,34,113
