SP4$,SP6$,FAMILY$,GENUS$,SPECIES$,OLDNAME$,CLIMBER$,FREE$,LIANA$,VINE$,SHRUB$,UNDERSTORY$,MIDSTORY$,TREE$,HERB$,EPIPHYTE$,HEMIEPIPHYT$,PARASITE$,FRUIT_FRSH,FRUIT_DRY,N_SEEDFULL,N_SEEDEMPTY,DSPR_FRESH,DSPR_DRY,SEED_FRESH,SEED_DRY,N_INDS,N_FRUIT,N_DIASPORE,N_SEEDS,DAWS_DSPRDRY
ABUD,,,,,,,,,,,,,,,,,,3.87537,1.38182,1,,1.81424,0.86267,0.93332,0.60085,2,10,10,10,
ABUR,ABUTRA,Menispermace,Abuta,racemosa,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.298373333,0.385726667,1,0,0.721973333,0.229366667,0.168933333,0.069246667,3,15,15,15,0.579
ACAG,,,,,,,,,,,,,,,,,,2.34626,2.0023,5.2,0.6,0.115655,0.09553,0.095965,0.080675,1,5,18,18,
ACAT,ACACTI,Fabaceae-Mim,Acacia,tenuifolia,,1.000000,NA,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.110232,1.814804,3.4,3.35,0.083410333,0.070419667,0.060060667,0.051405667,5,25,69,69,
ADEP,ADE4PO,Fabaceae,Entadopsis,polystachya,Adenopodia p,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,13.1718125,9.71146,9.488095238,2.1875,0.568156384,0.333770536,0.252720089,0.172656607,4,9,60,60,0.298
ADET,ADE1TR,Euphorbiacea,Adelia,triloba,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.310462,0.232685,2.5,1.208333333,0.021029833,0.0186555,0.014338667,0.012262333,5,24,59,59,0.026
AECS,,Bromeliaceae,Aechmea,setigera,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.4806892,0.093662,6.84,1.025,0.024130333,0.008903333,0.013609,0.0068785,5,30,106,107,
AECT,,Bromeliaceae,Aechmea,tillandsioid,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.34658,0.082544,22.36,0.4,0.003334,0.00177,0.00203,0.001488,5,25,97,97,
AEGC,AEGICE,Verbenaceae,Aegiphila,cephalophora,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.40659,0.258045,2.75,1.05,0.051964583,0.029664792,0.029981667,0.018482083,4,25,75,75,
AEGE,AEGIEL,Verbenaceae,Aegiphila,elata,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.38886,0.245813333,3.2,0.4,0.054348889,0.025108889,0.02323,0.018035,3,15,48,13,0.06
AEGP,AEGIPA,Verbenaceae,Aegiphila,panamensis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.6162,0.16015,1.5,2,0.065075,0.0179,0.013175,0.00115,1,2,3,3,
AESE,,Fabaceae-Pap,Aeschynomene,sensitiva,,NA,NA,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.072468,0.059316,6.08,1,0.007103667,0.005704,0.003799,0.003172333,5,25,95,95,
ALBG,ALBIGU,Fabaceae:Mim,Pseudosamane,guachapele,Albizia guac,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.834706667,0.674546,7.553333333,2.64,0.0382065,0.028405833,0.0207715,0.0152055,5,31,122,122,0.032
ALCC,ALCHCO,Euphorbiacea,Alchornea,costaricensi,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.170586667,0.073746667,1.666666667,0.333333333,0.052346667,0.03016,0.023023333,0.019603333,3,15,25,25,0.034
ALIE,ALIBED,Rubiaceae,Alibertia,edulis,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.299396,1.758628,41.68,10.6,0.027071,0.014442,0.021391,0.01232,5,25,100,100,0.015
ALLC,ALLACA,Apocynaceae,Allamanda,cathartica,,1.000000,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,30.46594,12.24238,37.1,1.25,0.4141225,0.1919125,0.253935,0.1407325,2,10,40,40,
ALLG,ALLOGE,Sapindaceae,Allophylus,gentryi,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.27296,0.0834,1,0,0.10348,0.06378,0.0588,0.0347,1,5,5,5,
ALLP,ALLOPS,Sapindaceae,Allophylus,psilospermus,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.2326,0.088488,1,0,0.06546,0.042012,0.044868,0.031092,5,25,25,25,
ALSB,ALSEBL,Rubiaceae,Alseis,blackiana,,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,1.000000,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.01428,0.01264,22.88888889,0.133333333,0.0001469,9.76573E-05,0.000082,0.000049,2,5,15,10,0.0002
