Latin	occur	Inter	Moist	Al	Ca	Fe	K	P	Zn	N	Moist^2	Al^2	Ca^2	Fe^2	K^2	P^2	Zn^2	N^2
Acacia melanoceras (Fabaceae-mimosoideae)	10	-1.49181670408117	-0.151300960394389	0.0948766053465995	0.616403516065106	-0.412779804625315	-0.0815351997101781	-0.355895550844483	0.18355277950702	0.0473000532256005	-0.490231985248895	-0.251940925523546	-0.104613753439151	0.0291310559499279	-0.103136161811074	-0.0667604489518891	-0.0721188097910554	-0.0185845094228067
Acalypha diversifolia (Euphorbiaceae)	23	-0.00735767150863782	0.733104858901296	0.154889241941872	-0.00826401390052598	-0.20978360686315	0.459760421455191	0.722517596375566	0.174008119375215	0.0543772032133432	-0.712720338192558	-0.186658542872524	-0.156334779012412	-0.0703440507887539	0.142940236386904	-0.214566034172403	-0.164810992319339	-0.0380278164711434
Acalypha macrostachya (Euphorbiaceae)	5	-2.12903135000585	-0.673937864411792	0.271794489737264	-0.130857070767045	-0.137312682069238	0.40017416467118	0.00361108531694653	0.157329171724647	0.0845529323224263	-0.631288222214915	-0.272605883553435	-0.255404597117631	-0.0910341518640464	0.073591053979214	-0.233319430567646	-0.157599691553135	-0.020123839955128
Adelia triloba (Euphorbiaceae)	14	-1.87804132553223	0.437380759718826	-0.111129166962944	0.251483564753119	-0.342138049630647	0.150503997672109	1.36767642195342	0.206724623139879	0.0849137559736785	-0.57235797930694	-0.263411972955691	0.0342350696601362	-0.130867734590577	0.101029756359706	0.234875468824921	-0.0849458733922314	-0.0268019694611155
Aegiphila panamensis (Lamiaceae)	12	-1.02002633323642	-1.16943713823702	0.161064138133838	0.0430111882764987	0.0717788595167243	0.142850537290941	0.203520314583402	0.212627223807485	0.0277606158565773	-0.604051538199271	-0.268486652222975	-0.255992514302631	-0.126167907071642	0.0583263509227304	-0.346369088918298	-0.197290675141675	-0.0202085235635351
Albizia adinocephala (Fabaceae-mimosoideae)	7	-2.36839772723049	-1.94370462840994	-0.0265520893049246	-0.483677732957409	0.0984996261299904	0.139491867244679	0.106588604317383	0.142028468707715	0.0358304774919114	-0.430396892798867	-0.229014352262052	-0.0168255338084849	-0.0423639984449861	-0.0929843618235251	-0.403155201629556	-0.205852121790157	-0.0209910540627122
Alchornea costaricensis (Euphorbiaceae)	19	-0.514409376648404	0.0729696152722255	-0.0475510811989279	0.258587522323428	0.0182602149203008	0.27203417231625	0.855076601440505	0.121982430291984	0.066364734518929	-0.556860056442331	-0.255926961947453	-0.144034315998792	-0.0139233994777207	0.0330060163236071	-0.25142178261889	-0.144191020060221	-0.0247615154209377
Alchornea latifolia (Euphorbiaceae)	24	-0.291775372410048	0.496010372494333	-0.0572261646557625	-0.843992667394665	-0.269938503618198	0.135002855222711	-0.823637646630197	0.0837663880716135	0.0763375193949398	-0.17235917981981	-0.162224782697543	-0.228527030277325	0.0874643064341645	0.0945560978248466	-0.279194711124101	-0.189849227471981	-0.00320830703077552
Alibertia edulis (Rubiaceae)	34	0.131603562444171	-0.807768321727446	0.67070341189171	0.0836131050156633	0.0175634880861162	0.357064014158731	0.776826223647684	0.134186189135542	0.0489533743237314	-0.434972842850337	-0.215868853652391	0.0924540051780023	-0.00613546885187539	0.182501167353829	-0.283000499933072	0.0338932816830317	-0.0366312783912325
Allophylus racemosus (Sapindaceae)	9	-2.40629692826329	-1.99393098200659	0.205309253963435	0.159861001814255	0.0816961825982077	0.184503324873585	0.0958782985418859	0.169341857840963	0.0157080465171661	-0.496889036801955	-0.30600978806144	0.0219287715351463	-0.0299443474772634	-0.0279761624592319	-0.326847892989543	0.0930664080533956	-0.0293754835243341
Allophylus psilospermus (Sapindaceae)	9	-1.88279126672936	1.79733121350547	0.131006391615454	0.0992906902595332	-0.378643182283663	0.286764010532815	0.832868763059341	0.145128391960248	0.0777529519741122	-0.863196727832347	-0.200678516856648	-0.00106814819399857	0.0176428489231871	0.0787049366272917	-0.192916353891434	-0.0775953379859416	-0.0334323517233904
Alseis blackiana (Rubiaceae)	40	1.17415318538138	-0.959261438355212	-0.440833721565714	-0.0809482406399379	-0.282234685903642	0.508088715540921	0.163015430671571	0.0673633961378549	0.0452790492620704	-0.242282506238552	-0.0951583271822647	-0.350865688093467	-0.105802061954602	0.138165884812465	-0.321236584462152	-0.277432384660255	-0.0189943906001849
Amaioua corymbosa (Rubiaceae)	32	0.76395171530214	-0.47858885296245	0.255592497284071	-0.654135848546526	-0.382438078383296	-0.0383675349030831	-0.901041126744799	0.0906944580689169	0.0246875536175159	-0.504826801788092	-0.182236908380048	-0.168022487140696	0.0766844019972406	-0.135044038388614	-0.531323691569194	-0.0220074858572383	0.0158684522277588
Amaioua magnicarpa (Rubiaceae)	6	-3.72303961416697	2.14926302476963	-0.051715582701857	-0.521740092798118	0.250226381566586	-0.0539335799729795	-1.06263588869309	0.142966459756237	0.0530773273306114	-0.445132630997998	-0.232856975917723	-0.085139167320804	0.102792081697555	0.0300763546329362	-0.198062131085575	-0.0740906945276223	-0.0299566447152817
Amphitecna spathicalyx (Bignoniaceae)	4	-3.57779880193572	1.75717726346514	-0.105153211672242	-0.37753842650566	-0.0530112795903106	-0.15501862266313	-0.874582210273891	0.209986785238016	0.0534603729055141	-0.40276449952887	-0.252348085422438	-0.131029828534838	0.125530181473473	0.0479443302854567	-0.282321902303004	-0.120350301438483	-0.0280931254704818
Ampelocera edentula (Ulmaceae)	3	-3.85050865284116	1.95337147114909	0.0388724706350376	-0.0183417758136145	-0.217451198963897	0.173650205827139	-0.907085760901009	0.0972717831286469	0.0276160959933336	-0.361616087588097	-0.218144607153429	-0.21092580709026	-0.118026408805988	-0.0406821442485815	-0.193772582700839	-0.106908123066853	-0.0245458452763053
Anacardium excelsum (Anacardiaceae)	42	1.05910237301004	-0.595881118980682	-0.220079260293407	0.633951839419541	-0.0443845161047701	0.402336067186492	0.827901628840407	0.161070191438041	0.0550332753631733	-0.163997941599578	-0.125351503470497	-0.0415742523418463	-0.0125949218340552	-0.0622780763440178	-0.237852604356729	-0.17528515474888	-0.0458032334810402
Anaxagorea allenii (Annonaceae)	4	-3.24813509072178	1.69071821269585	0.040165435572964	-0.558784004680094	0.0287056697216508	-0.0901575313237832	-1.22436353691507	0.161466088939589	0.0616297833550585	-0.900468799342399	-0.23180846370283	-0.111260661989451	0.0133417140053409	0.0152406636142883	-0.200040034799741	-0.0450786546018803	-0.0300529065925204
Andira inermis (Fabaceae-papilionoideae)	32	0.705040918732351	0.422543685484577	-0.424312386987948	0.0105011280726413	0.0729474054534476	0.0573555868809387	-0.484585353950354	0.296526300423375	0.062388217308429	-0.468168085871708	-0.0681194565368246	-0.170458943034151	-0.0812345266549068	-0.00996375896353132	-0.261864062685504	-0.0370579593664842	-0.042008560659323
Annona acuminata (Annonaceae)	9	-1.58924106613292	1.33766082432654	0.0169274311037328	0.474948100547862	-0.490648599116409	0.0075896012876167	0.95982276284094	0.0826405012534345	0.0517703405499597	-0.756271218316967	-0.235283369285852	-0.0942608316745078	0.0531491980309443	-0.115006748235856	-0.412290996402983	-0.164897782374425	-0.014551459181266
Annona hayesii (Annonaceae)	26	0.0466547511673478	-2.00786570649582	0.273828957462093	0.00228707718595852	0.0796582038020861	0.180513097358554	-0.0902980511682119	0.211933442110752	0.0130451001183424	-0.453445663571242	-0.297537734396887	-0.116388468662834	-0.131589157357048	-0.0369686162541186	-0.55192729936895	-0.026889090493826	-0.0302466520114518
Annona montana (Annonaceae)	3	-3.75125681358709	1.72969423080848	-0.0626625458572945	-0.284888979494082	-0.205470425324011	0.120376868951714	-1.2625070596104	0.15409245785053	0.0304285151387946	-0.528825546599451	-0.23583929650206	-0.145121210032997	-0.129164947716011	0.00208007889140491	-0.102375340663067	-0.135871136329954	-0.0213881001844246
Annona purpurea (Annonaceae)	7	-2.69159233442975	-1.73295160058879	0.0394058421729071	0.0475268393038014	-0.110873109414632	-0.00898309119714948	0.705398645740147	0.149009316901615	0.0504980724313711	-0.514261062655864	-0.22034210990385	-0.10772194208299	0.0849317591854013	0.0767107950095306	-0.338368229097961	-0.064335521338248	-0.0251720414424118
Annona spraguei (Annonaceae)	35	0.681616137851776	-0.534405430658255	0.360110347970129	0.00552133115440015	0.00180986581810469	0.501330873914798	0.324525683961889	0.186323946189647	0.0230192884068666	-0.744097682597699	-0.211265150660321	-0.0846221884427943	-0.0208021994841728	0.0687702520471485	-0.146370373500367	0.0168198606819589	-0.0389771490581801
Pittoniotis trichantha (Rubiaceae)	21	-1.86611539105811	-2.26717544173522	-0.404764008192588	0.571225472790389	-0.0178658299138069	0.46161276868657	0.850878178363103	0.205280620593329	0.0526542679241869	-0.452662976255974	-0.229912314221543	0.105922695308061	0.057051195671526	0.00140148048933154	-0.131395665167048	-0.017593244262797	-0.0239467158886899
Apeiba membranacea (Malvaceae)	23	0.545657076130682	1.81107442512724	-0.419804150797852	-0.492153056037386	-0.282748645091341	0.373574568535657	-1.0307608041628	0.191679839113705	0.0556202160556394	-0.872307469831616	-0.216294446390489	-0.149029241159568	-0.156256456258807	-0.0261661927674259	-0.639071912494817	-0.164443172863241	-0.0158609053137024
Apeiba tibourbou (Malvaceae)	25	0.353614846871223	0.867695077701477	-0.323326202598046	-0.221693022213798	-0.0547965828144083	-0.233815412261135	-0.73640946896186	0.219064739645174	0.0929435644263382	-0.71305757962357	-0.202592625342737	-0.0823106915163167	-0.0529646022407867	-0.023765094869044	-0.455062348239838	0.0936146866897188	-0.0381224269994631
