"","Latin","Inter"
"1","Acacia melanoceras",-1.49181670408117
"2","Acalypha diversifolia",-0.00735767150863782
"3","Acalypha macrostachya",-2.12903135000585
"4","Adelia triloba",-1.87804132553223
"5","Aegiphila panamensis",-1.02002633323642
"6","Albizia adinocephala",-2.36839772723049
"7","Alchornea costaricensis",-0.514409376648404
"8","Alchornea latifolia",-0.291775372410048
"9","Alibertia edulis",0.131603562444171
"10","Allophylus racemosus",-2.40629692826329
"11","Allophylus psilospermus",-1.88279126672936
"12","Alseis blackiana",1.17415318538138
"13","Amaioua corymbosa",0.76395171530214
"14","Amaioua magnicarpa",-3.72303961416697
"15","Amphitecna spathicalyx",-3.57779880193572
"16","Ampelocera edentula",-3.85050865284116
"17","Anacardium excelsum",1.05910237301004
"18","Anaxagorea allenii",-3.24813509072178
"19","Andira inermis",0.705040918732351
"20","Annona acuminata",-1.58924106613292
"21","Annona hayesii",0.0466547511673478
"22","Annona montana",-3.75125681358709
"23","Annona purpurea",-2.69159233442975
"24","Annona spraguei",0.681616137851776
"25","Pittoniotis trichantha",-1.86611539105811
"26","Apeiba membranacea",0.545657076130682
"27","Apeiba tibourbou",0.353614846871223
"28","Aphelandra scabra",-3.26406975377347
"29","Aphelandra gracilis",-3.04151856160804
"30","Aphelandra sinclairiana",-1.73504287092235
"31","Appunia seibertii",-2.36440262834937
"32","Ardisia bartlettii",-2.01494892552845
"33","Ardisia standleyana",-1.57293802203894
"34","Ardisia glomerata",-3.44118600358446
"35","Aspidosperma spruceanum",0.762958710154537
"36","Aspidosperma megalocarpon",-3.41621120925134
"37","Astrocaryum alatum",-3.25567534033591
"38","Astrocaryum standleyanum",1.37623253584406
"39","Astronium graveolens",-0.345580519703826
"40","Bactris barronis",1.57322690100375
"41","Bactris coloniata",0.264453273546593
"42","Bactris coloradonis",0.216514085687044
"43","Bactris maraja",-1.82826243976742
"44","Bactris major",-0.0329249511012187
"45","Bactris panamensis",-1.54632306461317
"46","Banara guianensis",-2.50355895550021
"47","Beilschmiedia pendula",-0.414639201143553
"48","Bellucia pentamera",-2.76536508238832
"49","Brosimum alicastrum",0.688345028656137
"50","Brosimum costaricanum",-1.27604563870111
"51","Brosimum guianense",0.466217525071077
"52","Brosimum lactescens",-2.87711244894536
"53","Brosimum utile",-2.773595637433
"54","Bunchosia cornifolia",-3.18704639472136
"55","Bursera simaruba",-2.33798991343938
"56","Byrsonima crispa",-4.13818313177568
"57","Byrsonima spicata",-1.68390171657513
"58","Calycolpus warszewiczianus",-1.16282588263648
"59","Calycophyllum candidissimum",-2.31335120202503
