Latin,d_index
Alibertia edulis,26.54
Anaxagorea panamensis,19.58
Andira inermis,31.03
Beilschmiedia pendula,100
Brosimum alicastrum,13.84
Brosimum utile,59.71
Calophyllum longifolium,70
Capparis frondosa,8.11
Casearia arguta,14.15
Cordia alliodora,25.77
Crossopetalum parviflorum,19.58
Cupania sylvatica,13.24
Dipteryx panamensis,0
Faramea occidentalis,8.11
Garcinia intermedia,1.67
Guapira standleyana,13.84
Guarea guidonia,64.34
Herrania purpurea,46.66
Hybanthus prunifolius,21.34
Hymenaea courbaril,21.74
Inga cocleensis,14.25
Inga multijuga,4.17
Inga sapindoides,28.18
Lacistema aggregatum,46.67
Lacmellea panamensis,13.33
Licania platypus,33.33
Mouriri myrtilloides,11.08
Myrcia gatunensis,38.89
Ouratea lucens,3.33
Picramnia latifolia,28.57
Piper trigonum,82.14
Posoqueria latifolia,10.98
Pouteria unilocularis,34.62
Pseudobombax septenatum,11.11
Psidium friedrichsthalianum,87.66
Psychotria horizontalis,3.57
Pterocarpus rohrii,29.17
Sorocea affinis,46.67
Swartzia simplex,4.81
Tabebuia rosea,51.98
Tetragastris panamensis,29.53
Thevetia ahouai,23.37
Trichilia tuberculata,24.14
Unonopsis panamensis,73.35
Virola surinamensis,85.82
Vochysia ferruginea,63.31
Xylopia macrantha,64
Xylosma chlorantha,24
