,sp,Latin,wsg,e_vs_l,d_index,engel_dt_vs_di,harms_dt_vs_di,Moist,PNAS_dt_vs_di,dpft
1,ade1tr,Adelia triloba,0.6045,late,0,0,dt,0.43738076,di,dt
2,alchco,Alchornea costaricensis,0.301,early,0,0,0,0.072969615,di,di
3,alsebl,Alseis blackiana,0.536,late,0,0,dt,-0.959261438,dt,dt
4,andiin,Andira inermis,0.641952,late,31.03,0,0,0.422543685,di,di
5,apeime,Apeiba membranacea,0.278333,early,0,0,0,1.811074425,di,di
6,ast1st,Astrocaryum standleyanum,0.508,late,0,0,0,-0.397735325,dt,dt
7,beilpe,Beilschmiedia pendula,0.507,late,100,di,di,1.096588984,di,di
8,brosal,Brosimum alicastrum,0.60775,late,13.84,dt,0,-0.475961423,dt,dt
9,calolo,Calophyllum longifolium,0.542,late,70,di,di,0.934334442,di,di
10,caseac,Casearia aculeata,0.66,late,0,0,dt,-1.202051313,dt,dt
11,cassel,Cassipourea elliptica,0.637409,late,0,0,di,0.813947383,di,di
12,cecrin,Cecropia insignis,0.3175,early,0,0,0,-0.084228217,dt,dt
13,cecrob,Cecropia obtusifolia,0.307333,early,0,0,0,-0.084310166,dt,dt
14,celtsc,Celtis schippii,0.616,late,0,0,0,-0.227075203,dt,dt
15,chr2ar,Chrysophyllum argenteum,0.764833,late,0,0,0,1.949978527,di,di
16,cordbi,Cordia bicolor,0.475,early,0,0,di,1.15868847,di,di
17,cordla,Cordia lasiocalyx,0.397,early,0,0,0,1.071985392,di,di
18,cou2cu,Coussarea curvigemmia,0.6182,late,0,0,di,-0.245523458,dt,di
19,crotbi,Croton billbergianus,0.517382,late,0,0,di,0.44816238,di,di
20,cupasy,Cupania seemannii,0.608708,late,0,0,0,-0.905745154,dt,dt
21,drypst,Drypetes standleyi,0.675,late,0,0,dt,1.535758125,di,dt
22,eugeco,Eugenia coloradoensis,0.724176,late,0,0,0,1.048820127,di,di
23,eugega,Eugenia galalonensis,0.724176,late,0,0,dt,1.34238364,di,dt
24,eugene,Eugenia nesiotica,0.724176,late,0,0,dt,-0.853097218,dt,dt
25,eugeoe,Eugenia oerstediana,0.724176,late,0,0,0,0.409691557,di,di
26,faraoc,Faramea occidentalis,0.587889,late,8.11,dt,dt,-0.221276604,dt,dt
27,gar2in,Garcinia intermedia,0.6625,late,1.67,dt,dt,0.661787094,di,dt
28,gar2ma,Garcinia madruno,0.726667,late,0,0,0,1.558888993,di,di
29,guargu,Guarea guidonia,0.567514,late,64.34,di,0,0.084576012,di,di
30,guarsp,Guarea bullata,0.560551,late,0,0,0,1.47989204,di,di
31,guatdu,Guatteria dumetorum,0.466,early,0,0,di,1.128600891,di,di
32,guetfo,Guettarda foliacea,0.725165,late,0,0,0,1.46800704,di,di
33,gustsu,Gustavia superba,0.58,late,0,0,dt,0.09921571,di,dt
34,hassfl,Hasseltia floribunda,0.53,late,0,0,di,-0.445821284,dt,di
35,heisco,Heisteria concinna,0.64,late,0,0,0,0.783130949,di,di
36,hirttr,Hirtella triandra,0.68275,late,0,0,di,1.834481538,di,di
37,ingago,Inga goldmanii,0.580505,late,0,0,di,1.620843585,di,di
38,ingama,Inga marginata,0.5518,late,0,0,0,2.150254915,di,di
39,ingaqu,Inga nobilis,0.56,late,0,0,0,0.79315251,di,di
40,ingas1,Inga acuminata,0.580505,late,0,0,0,0,di,di
41,ingasa,Inga sapindoides,0.580505,late,28.18,0,0,0.09979008,di,di
42,jac1co,Jacaranda copaia,0.350667,early,0,0,di,0.088293427,di,di
43,laciag,Lacistema aggregatum,0.5055,late,46.67,di,di,0.177161789,di,di
44,laetth,Laetia thamnia,0.66,late,0,0,di,1.461604892,di,di
45,licapl,Licania platypus,0.62,late,33.33,0,di,1.078464105,di,di
46,loncla,Lonchocarpus heptaphyllus,0.68675,late,0,0,0,1.656716914,di,di
47,maquco,Maquira guianensis,0.766,late,0,0,0,1.734154307,di,di
48,micoar,Miconia argentea,0.589,late,0,0,0,-0.533576525,dt,dt
49,ocotwh,Ocotea whitei,0.525773,late,0,0,di,1.544370674,di,di
50,oenoma,Oenocarpus mapora,0.713,late,0,0,0,-0.346652937,dt,dt
51,perexa,Perebea xanthochyma,0.56,late,0,0,di,0.761312559,di,di
52,poular,Poulsenia armata,0.350429,early,0,0,di,1.375048887,di,di
